kgmp X,kgmp Y,kcgd X,kcgd Y,ids X,ids Y,rds X,rds Y,kcds X,kcds Y,kgds X,kgds Y,kcgs X,kcgs Y
41.41309,-9.874442687329013,41.41309,4.407183803284236e-11,41.41309,-0.0004205145105349136,41.41309,5754.473038231559,41.41309,-7.681450982805489e-14,41.41309,-0.4132505630760659,41.41309,1.005993838254939e-10
43.22405,-9.874442687315959,43.22405,4.407183803269925e-11,43.22405,-0.0004389032284393095,43.22405,5513.378021086438,43.22405,-7.681450982772401e-14,43.22405,-0.4132505630755762,43.22405,1.005993838252242e-10
45.1142,-9.874442687303461,45.1142,4.407183803256226e-11,45.1142,-0.0004580960682887784,45.1142,5282.384156020471,45.1142,-7.681450982740739e-14,45.1142,-0.4132505630751073,45.1142,1.00599383824966e-10
47.087,-9.874442687291511,47.087,4.407183803243122e-11,47.087,-0.0004781281936061862,47.087,5061.06823531026,47.087,-7.681450982708737e-14,47.087,-0.4132505630746584,47.087,1.005993838247191e-10
49.14607,-9.874442687279961,49.14607,4.407183803230468e-11,49.14607,-0.0004990363055833573,49.14607,4849.024782355983,49.14607,-7.681450982681268e-14,49.14607,-0.4132505630742264,49.14607,1.005993838244805e-10
51.29518,-9.874442687269029,51.29518,4.407183803218476e-11,51.29518,-0.000520858710321885,51.29518,4645.865308801395,51.29518,-7.681450982652771e-14,51.29518,-0.4132505630738152,51.29518,1.005993838242546e-10
53.53827,-9.874442687258462,53.53827,4.407183803206896e-11,53.53827,-0.0005436353890144732,53.53827,4451.217602777098,53.53827,-7.681450982626031e-14,53.53827,-0.4132505630734194,53.53827,1.005993838240363e-10
55.87946,-9.874442687248436,55.87946,4.407183803195902e-11,55.87946,-0.0005674080711950477,55.87946,4264.725046965682,55.87946,-7.681450982598267e-14,55.87946,-0.4132505630730423,55.87946,1.005993838238292e-10
58.32301,-9.874442687238735,58.32301,4.40718380318527e-11,58.32301,-0.0005922203111922283,58.32301,4086.045965236546,58.32301,-7.681450982574598e-14,58.32301,-0.4132505630726787,58.32301,1.005993838236288e-10
60.87343,-9.874442687229507,60.87343,4.407183803175152e-11,60.87343,-0.0006181175679258535,60.87343,3914.852996655872,60.87343,-7.68145098254992e-14,60.87343,-0.4132505630723318,60.87343,1.005993838234382e-10
63.53537,-9.874442687220618,63.53537,4.407183803165407e-11,63.53537,-0.0006451472881931023,63.53537,3750.832495722781,63.53537,-7.681450982526943e-14,63.53537,-0.4132505630719986,63.53537,1.005993838232545e-10
66.31371,-9.87444268721206,66.31371,4.407183803156027e-11,66.31371,-0.0006733589935965224,66.31371,3593.683957734388,66.31371,-7.681450982506632e-14,66.31371,-0.4132505630716781,66.31371,1.005993838230776e-10
69.21355,-9.874442687203945,69.21355,4.407183803147132e-11,69.21355,-0.0007028043712733719,69.21355,3443.119468226141,69.21355,-7.681450982484744e-14,69.21355,-0.4132505630713733,69.21355,1.0059938382291e-10
72.24019,-9.874442687196085,72.24019,4.407183803138516e-11,72.24019,-0.0007335373685925646,72.24019,3298.863175478625,72.24019,-7.681450982466021e-14,72.24019,-0.4132505630710791,72.24019,1.005993838227476e-10
75.39919,-9.874442687188685,75.39919,4.407183803130403e-11,75.39919,-0.0007656142919924277,75.39919,3160.650785125453,75.39919,-7.681450982443768e-14,75.39919,-0.4132505630708004,75.39919,1.005993838225948e-10
78.69633,-9.874442687181533,78.69633,4.40718380312256e-11,78.69633,-0.0007990939101408107,78.69633,3028.229075934642,78.69633,-7.68145098243086e-14,78.69633,-0.4132505630705319,78.69633,1.00599383822447e-10
82.13764999999999,-9.874442687174639,82.13764999999999,4.407183803115006e-11,82.13764999999999,-0.0008340375616060303,82.13764999999999,2901.355435878156,82.13764999999999,-7.681450982411929e-14,82.13764999999999,-0.4132505630702737,82.13764999999999,1.005993838223046e-10
85.72945,-9.874442687168104,85.72945,4.407183803107838e-11,85.72945,-0.0008705092672363103,85.72945,2779.797417638246,85.72945,-7.6814509823914e-14,85.72945,-0.4132505630700279,85.72945,1.005993838221695e-10
89.47832,-9.874442687161755,89.47832,4.40718380310088e-11,89.47832,-0.0009085758474535189,89.47832,2663.332312736658,89.47832,-7.681450982376963e-14,89.47832,-0.4132505630697903,89.47832,1.005993838220383e-10
93.39113,-9.874442687155721,93.39113,4.407183803094271e-11,93.39113,-0.000948307044675865,93.39113,2551.746743506989,93.39113,-7.681450982362448e-14,93.39113,-0.4132505630695639,93.39113,1.005993838219138e-10
97.47504000000001,-9.874442687149921,97.47504000000001,4.407183803087911e-11,97.47504000000001,-0.0009897756510942601,97.47504000000001,2444.836272161636,97.47504000000001,-7.681450982347291e-14,97.47504000000001,-0.4132505630693466,97.47504000000001,1.005993838217939e-10
101.7375,-9.874442687144377,101.7375,4.407183803081828e-11,101.7375,-0.001033057642036032,101.7375,2342.405026238087,101.7375,-7.681450982333017e-14,101.7375,-0.4132505630691383,101.7375,1.005993838216793e-10
106.1864,-9.87444268713911,106.1864,4.407183803076058e-11,106.1864,-0.001078232315160628,106.1864,2244.265339737602,106.1864,-7.681450982317806e-14,106.1864,-0.4132505630689401,106.1864,1.005993838215706e-10
110.8299,-9.874442687133964,110.8299,4.407183803070419e-11,110.8299,-0.001125382435742205,110.8299,2150.237409299209,110.8299,-7.681450982307243e-14,110.8299,-0.413250563068748,110.8299,1.005993838214643e-10
115.6763,-9.874442687129083,115.6763,4.407183803065065e-11,115.6763,-0.00117459438830519,115.6763,2060.148964779056,115.6763,-7.681450982295237e-14,115.6763,-0.4132505630685648,115.6763,1.005993838213634e-10
120.7348,-9.874442687124462,120.7348,4.40718380306e-11,120.7348,-0.001225958334890882,120.7348,1973.834953631295,120.7348,-7.681450982283855e-14,120.7348,-0.4132505630683908,120.7348,1.00599383821268e-10
126.0144,-9.874442687119972,126.0144,4.407183803055082e-11,126.0144,-0.00127956838024486,126.0144,1891.13723851254,126.0144,-7.681450982270829e-14,126.0144,-0.4132505630682227,126.0144,1.005993838211753e-10
131.5249,-9.874442687115712,131.5249,4.407183803050409e-11,131.5249,-0.001335522744227765,131.5249,1811.904307555902,131.5249,-7.681450982260784e-14,131.5249,-0.4132505630680625,131.5249,1.005993838210873e-10
137.2764,-9.874442687111573,137.2764,4.407183803045871e-11,137.2764,-0.001393923941765651,137.2764,1735.990996783454,137.2764,-7.681450982249625e-14,137.2764,-0.4132505630679075,137.2764,1.005993838210016e-10
143.2793,-9.874442687107621,143.2793,4.407183803041534e-11,143.2793,-0.001454878970669221,143.2793,1663.25822414895,143.2793,-7.681450982240418e-14,143.2793,-0.4132505630677595,143.2793,1.005993838209199e-10
149.5448,-9.874442687103892,149.5448,4.407183803037443e-11,149.5448,-0.001518499507666295,149.5448,1593.572734723301,149.5448,-7.681450982230764e-14,149.5448,-0.4132505630676189,149.5448,1.005993838208429e-10
156.0843,-9.874442687100295,156.0843,4.4071838030335e-11,156.0843,-0.001584902113006735,156.0843,1526.806856555861,156.0843,-7.681450982220238e-14,156.0843,-0.4132505630674837,156.0843,1.005993838207686e-10
162.9097,-9.874442687096815,162.9097,4.407183803029693e-11,162.9097,-0.001654208444014303,162.9097,1462.838266764642,162.9097,-7.681450982213149e-14,162.9097,-0.4132505630673535,162.9097,1.005993838206968e-10
170.0336,-9.874442687093431,170.0336,4.407183803025986e-11,170.0336,-0.001726545477977127,170.0336,1401.549767426464,170.0336,-7.681450982204787e-14,170.0336,-0.4132505630672275,170.0336,1.005993838206268e-10
177.469,-9.87444268709031,177.469,4.407183803022563e-11,177.469,-0.001802045744784803,177.469,1342.829070856756,177.469,-7.681450982195556e-14,177.469,-0.4132505630671094,177.469,1.005993838205624e-10
185.2295,-9.874442687087255,185.2295,4.407183803019215e-11,185.2295,-0.001880847569738902,185.2295,1286.568593885222,185.2295,-7.681450982188018e-14,185.2295,-0.4132505630669951,185.2295,1.005993838204993e-10
193.3295,-9.874442687084349,193.3295,4.407183803016026e-11,193.3295,-0.001963095326980771,193.3295,1232.66526075112,193.3295,-7.681450982181831e-14,193.3295,-0.413250563066886,193.3295,1.005993838204392e-10
201.7836,-9.874442687081574,201.7836,4.407183803012983e-11,201.7836,-0.002048939704001947,201.7836,1181.020314256339,201.7836,-7.681450982173874e-14,201.7836,-0.4132505630667813,201.7836,1.005993838203819e-10
